age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,lead_score,lead_tier
31,entrepreneur,divorced,basic.4y,no,no,no,cellular,nov,tue,290,1,5,1,success,-0.1,93.2,-42,4.153,5195.8,no,80,Warm
51,admin.,married,university.degree,no,no,no,cellular,nov,tue,104,2,1,1,success,-0.1,93.2,-42,4.153,5195.8,no,80,Warm
49,management,divorced,university.degree,no,no,no,cellular,nov,wed,364,2,6,1,success,-0.1,93.2,-42,4.12,5195.8,no,80,Warm
35,self-employed,single,university.degree,no,no,yes,cellular,nov,wed,197,1,3,1,success,-0.1,93.2,-42,4.12,5195.8,no,80,Warm
36,management,married,university.degree,no,no,no,cellular,nov,thu,192,2,6,1,success,-0.1,93.2,-42,4.076,5195.8,no,80,Warm
30,admin.,married,university.degree,no,unknown,unknown,cellular,mar,mon,291,3,8,1,success,-1.8,92.843,-50,1.629,5099.1,no,80,Warm
35,admin.,single,high.school,no,no,no,cellular,apr,fri,146,2,5,2,success,-1.8,93.075,-47.1,1.405,5099.1,no,80,Warm
53,admin.,single,university.degree,no,no,no,cellular,apr,thu,494,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,yes,80,Warm
31,admin.,single,high.school,no,no,no,cellular,apr,thu,252,1,5,1,success,-1.8,93.075,-47.1,1.365,5099.1,yes,80,Warm
48,entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,294,2,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,yes,80,Warm
54,management,married,university.degree,no,no,no,telephone,apr,thu,107,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no,80,Warm
44,self-employed,single,professional.course,no,no,no,cellular,may,mon,230,6,12,1,success,-1.8,92.893,-46.2,1.354,5099.1,no,80,Warm
49,admin.,married,high.school,no,no,no,cellular,may,tue,104,1,6,1,success,-1.8,92.893,-46.2,1.344,5099.1,no,80,Warm
32,admin.,married,university.degree,no,no,no,cellular,may,thu,1030,1,6,1,success,-1.8,92.893,-46.2,1.327,5099.1,yes,80,Warm
45,admin.,divorced,basic.9y,unknown,no,no,cellular,may,thu,133,1,12,1,success,-1.8,92.893,-46.2,1.327,5099.1,no,80,Warm
35,admin.,single,high.school,no,unknown,unknown,cellular,may,fri,579,2,10,1,success,-1.8,92.893,-46.2,1.313,5099.1,yes,80,Warm
37,entrepreneur,married,basic.9y,no,no,no,cellular,may,mon,277,1,9,1,success,-1.8,92.893,-46.2,1.299,5099.1,no,80,Warm
46,entrepreneur,married,high.school,no,no,no,cellular,may,tue,366,1,6,1,success,-1.8,92.893,-46.2,1.291,5099.1,no,80,Warm
34,management,married,university.degree,no,no,yes,telephone,may,wed,318,5,6,1,success,-1.8,92.893,-46.2,1.281,5099.1,no,80,Warm
51,self-employed,married,basic.9y,no,no,no,telephone,may,wed,246,2,12,1,success,-1.8,92.893,-46.2,1.281,5099.1,no,80,Warm
33,admin.,single,high.school,unknown,no,no,cellular,may,thu,1723,1,12,1,success,-1.8,92.893,-46.2,1.266,5099.1,yes,80,Warm
41,admin.,single,high.school,no,no,no,cellular,may,mon,435,7,2,1,success,-1.8,92.893,-46.2,1.244,5099.1,no,80,Warm
45,admin.,single,university.degree,no,no,no,cellular,may,fri,582,1,3,1,success,-1.8,92.893,-46.2,1.259,5099.1,yes,80,Warm
45,admin.,divorced,university.degree,no,no,no,cellular,may,tue,167,1,9,1,success,-1.8,92.893,-46.2,1.266,5099.1,no,80,Warm
31,admin.,single,high.school,no,no,no,cellular,may,wed,439,1,3,1,success,-1.8,92.893,-46.2,1.27,5099.1,yes,80,Warm
52,admin.,married,university.degree,no,no,no,cellular,may,wed,242,2,7,1,success,-1.8,92.893,-46.2,1.27,5099.1,no,80,Warm
53,self-employed,married,university.degree,no,no,yes,cellular,may,wed,141,3,6,1,success,-1.8,92.893,-46.2,1.27,5099.1,no,80,Warm
36,admin.,married,university.degree,no,no,no,cellular,jun,mon,174,1,3,1,success,-2.9,92.963,-40.8,1.266,5076.2,yes,80,Warm
32,admin.,married,university.degree,no,no,no,cellular,jun,tue,74,1,4,1,success,-2.9,92.963,-40.8,1.262,5076.2,yes,80,Warm
44,admin.,single,university.degree,no,no,no,cellular,jun,tue,924,2,4,1,success,-2.9,92.963,-40.8,1.262,5076.2,yes,80,Warm
31,admin.,married,high.school,no,no,no,cellular,jun,wed,161,1,2,1,success,-2.9,92.963,-40.8,1.26,5076.2,no,80,Warm
32,admin.,married,university.degree,no,no,yes,cellular,jun,thu,327,3,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes,80,Warm
30,admin.,single,professional.course,no,unknown,unknown,cellular,jun,thu,246,1,7,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes,80,Warm
30,admin.,single,university.degree,no,no,yes,cellular,jun,fri,199,1,3,1,success,-2.9,92.963,-40.8,1.268,5076.2,yes,80,Warm
32,management,single,university.degree,no,no,no,cellular,jun,mon,257,2,3,1,success,-2.9,92.963,-40.8,1.281,5076.2,yes,80,Warm
32,management,single,university.degree,no,no,no,cellular,jun,mon,152,2,3,1,success,-2.9,92.963,-40.8,1.281,5076.2,no,80,Warm
44,self-employed,married,university.degree,no,no,no,cellular,jun,tue,234,2,3,1,success,-2.9,92.963,-40.8,1.286,5076.2,yes,80,Warm
50,admin.,married,university.degree,no,no,no,cellular,jun,mon,269,1,3,1,success,-2.9,92.963,-40.8,1.215,5076.2,yes,80,Warm
55,management,married,university.degree,no,no,yes,cellular,jul,wed,260,2,3,1,success,-2.9,92.469,-33.6,1.085,5076.2,yes,80,Warm
45,admin.,married,university.degree,no,no,no,cellular,jul,wed,194,1,13,1,success,-2.9,92.469,-33.6,1.029,5076.2,no,80,Warm
54,admin.,married,university.degree,no,no,yes,cellular,jul,tue,822,6,13,1,success,-2.9,92.469,-33.6,0.908,5076.2,yes,80,Warm
31,admin.,single,university.degree,no,no,no,cellular,aug,tue,138,1,15,1,success,-2.9,92.201,-31.4,0.884,5076.2,no,80,Warm
48,entrepreneur,married,university.degree,no,no,yes,cellular,aug,fri,295,2,4,2,success,-2.9,92.201,-31.4,0.881,5076.2,yes,80,Warm
36,admin.,divorced,university.degree,no,no,no,cellular,aug,mon,559,1,5,1,success,-2.9,92.201,-31.4,0.884,5076.2,yes,80,Warm
40,admin.,married,university.degree,no,no,no,cellular,aug,mon,246,1,3,1,success,-2.9,92.201,-31.4,0.884,5076.2,no,80,Warm
35,admin.,married,high.school,no,no,no,cellular,aug,mon,155,1,4,1,success,-2.9,92.201,-31.4,0.884,5076.2,no,80,Warm
31,admin.,married,high.school,no,no,yes,cellular,aug,mon,155,2,4,1,success,-2.9,92.201,-31.4,0.884,5076.2,yes,80,Warm
31,admin.,single,university.degree,no,no,no,cellular,aug,tue,265,1,4,3,success,-2.9,92.201,-31.4,0.883,5076.2,yes,80,Warm
50,management,married,university.degree,no,no,no,cellular,aug,tue,89,3,4,1,success,-2.9,92.201,-31.4,0.883,5076.2,no,80,Warm
30,admin.,married,university.degree,no,no,no,cellular,aug,tue,139,3,6,1,success,-2.9,92.201,-31.4,0.883,5076.2,yes,80,Warm
36,admin.,divorced,university.degree,no,no,yes,cellular,aug,wed,623,2,6,2,success,-2.9,92.201,-31.4,0.879,5076.2,yes,80,Warm
38,admin.,married,university.degree,no,no,no,cellular,aug,wed,236,1,4,1,success,-2.9,92.201,-31.4,0.879,5076.2,no,80,Warm
45,admin.,married,university.degree,no,no,no,cellular,aug,wed,363,1,4,2,success,-2.9,92.201,-31.4,0.879,5076.2,no,80,Warm
44,admin.,married,university.degree,no,no,no,cellular,aug,wed,96,2,4,1,success,-2.9,92.201,-31.4,0.879,5076.2,no,80,Warm
39,admin.,married,high.school,no,no,no,cellular,aug,thu,315,2,4,1,success,-2.9,92.201,-31.4,0.873,5076.2,yes,80,Warm
48,self-employed,married,university.degree,no,no,no,cellular,aug,thu,135,1,4,3,success,-2.9,92.201,-31.4,0.873,5076.2,no,80,Warm
44,admin.,single,university.degree,no,no,no,cellular,aug,mon,207,1,6,1,success,-2.9,92.201,-31.4,0.861,5076.2,yes,80,Warm
33,admin.,married,high.school,no,no,yes,cellular,aug,tue,113,1,6,2,success,-2.9,92.201,-31.4,0.859,5076.2,no,80,Warm
37,admin.,divorced,university.degree,no,no,no,cellular,aug,thu,329,3,9,1,success,-2.9,92.201,-31.4,0.851,5076.2,yes,80,Warm
32,management,single,university.degree,no,no,no,cellular,aug,thu,149,1,3,2,success,-2.9,92.201,-31.4,0.851,5076.2,yes,80,Warm
43,admin.,married,university.degree,no,no,yes,cellular,aug,tue,161,3,13,1,success,-2.9,92.201,-31.4,0.838,5076.2,no,80,Warm
31,admin.,single,university.degree,no,no,no,cellular,aug,thu,81,1,3,1,success,-2.9,92.201,-31.4,0.829,5076.2,yes,80,Warm
33,admin.,married,high.school,no,no,no,cellular,aug,fri,207,3,15,1,success,-2.9,92.201,-31.4,0.825,5076.2,yes,80,Warm
45,admin.,married,university.degree,no,no,no,cellular,sep,mon,351,1,3,2,success,-3.4,92.379,-29.8,0.797,5017.5,yes,80,Warm
49,admin.,married,high.school,no,no,no,cellular,sep,tue,495,1,3,1,success,-3.4,92.379,-29.8,0.788,5017.5,yes,80,Warm
39,self-employed,divorced,high.school,no,no,no,cellular,sep,tue,261,1,3,1,success,-3.4,92.379,-29.8,0.788,5017.5,yes,80,Warm
39,self-employed,divorced,high.school,no,no,no,cellular,sep,tue,108,2,3,1,success,-3.4,92.379,-29.8,0.788,5017.5,yes,80,Warm
34,admin.,single,university.degree,no,no,no,cellular,sep,fri,260,3,3,2,success,-3.4,92.379,-29.8,0.773,5017.5,yes,80,Warm
31,self-employed,married,university.degree,no,no,no,cellular,sep,wed,152,1,3,1,success,-3.4,92.379,-29.8,0.768,5017.5,yes,80,Warm
30,admin.,married,university.degree,no,no,no,cellular,sep,mon,294,2,6,1,success,-3.4,92.379,-29.8,0.739,5017.5,yes,80,Warm
35,admin.,married,high.school,no,no,no,cellular,oct,thu,302,1,4,2,success,-3.4,92.431,-26.9,0.754,5017.5,no,80,Warm
48,management,married,university.degree,no,no,no,cellular,oct,wed,81,1,6,1,success,-3.4,92.431,-26.9,0.74,5017.5,yes,80,Warm
42,management,single,university.degree,no,no,no,cellular,oct,mon,134,1,6,1,success,-3.4,92.431,-26.9,0.743,5017.5,no,80,Warm
32,admin.,married,professional.course,no,no,yes,cellular,oct,tue,221,1,6,1,success,-3.4,92.431,-26.9,0.742,5017.5,yes,80,Warm
33,admin.,married,university.degree,no,no,no,cellular,oct,fri,130,1,6,1,success,-3.4,92.431,-26.9,0.739,5017.5,yes,80,Warm
32,admin.,single,university.degree,no,no,no,cellular,oct,fri,147,2,6,1,success,-3.4,92.431,-26.9,0.739,5017.5,no,80,Warm
42,management,married,university.degree,no,no,no,telephone,oct,tue,83,1,3,1,success,-3.4,92.431,-26.9,0.728,5017.5,yes,80,Warm
